"","L2","z"
"3454",0.3158482207,1462
"3453",0.5391866394,1462
"3452",0.8008438727,1462
"3451",1.062501106,1460
"3450",1.285839525,1445
"3449",1.509177943,1450
"3448",1.732516362,1443
"3447",1.955854781,1438
"3446",2.179193199,1420
"3445",2.402531618,1423
"3444",2.664188851,1410
"3443",2.88752727,1400
"3442",3.110865689,1400
"3441",3.372522922,1393
"3440",3.595861341,1390
"3439",3.857518574,1390
"3438",4.080856993,1387
"3437",4.304195412,1381
"3436",4.52753383,1377
"3435",4.750872249,1370
"3434",4.974210668,1371
"3433",5.197549086,1370
"3432",5.38256869,1371
"3431",5.567588294,1370
"3430",5.752607898,1370
"3429",5.937627502,1368
"3428",6.160965921,1368
"3427",6.38430434,1362
"3426",6.607642759,1360
"3425",6.830981177,1355
"3424",7.092638411,1355
"3423",7.354295644,1355
"3422",7.539315248,1355
"3421",7.724334852,1355
"3420",7.985992085,1355
"3419",8.171011689,1360
"3418",8.356031293,1360
"3417",8.541050897,1355
"3416",8.726070501,1355
"3415",8.911090105,1355
"3414",9.172747339,1355
"3413",9.434404572,1360
"3412",9.657742991,1355
"3411",9.842762595,1349
"3410",10.06610101,1324
"3409",10.28943943,1315
"3408",10.55109667,1310
"3407",10.77443508,1303
"3406",10.9977735,1290
"3405",11.22111192,1289
"3404",11.44445034,1290
"3403",11.62946994,1281
"3402",11.89112718,1280
"3401",12.1144656,1281
"3400",12.33780402,1281
"3399",12.52282362,1280
"3398",12.74616204,1280
"3397",12.96950046,1270
"3396",13.15452006,1270
"3395",13.33953966,1274
"3394",13.52455927,1269
"3393",13.74789769,1270
"3392",14.00955492,1260
"3391",14.23289334,1260
"3390",14.49455057,1262
"3389",14.67957018,1262
"3388",14.9029086,1260
"3387",15.0879282,1260
"3386",15.31126662,1250
"3385",15.57292385,1251
"3384",15.79626227,1251
"3383",15.98128187,1250
"3382",16.16630148,1250
"3381",16.3896399,1245
"3380",16.61297832,1240
"3379",16.79799792,1244
"3378",16.98301752,1244
"3377",17.16803713,1240
"3376",17.39137555,1240
"3375",17.57639515,1240
"3374",17.76141475,1238
"3373",17.98475317,1238
"3372",18.24641041,1236
"3371",18.46974883,1236
